epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,320.556,0.40351,0.27239,0.84143,0.9944,0.99912,0.995,0.90561,0.33892,0.22346,0.77156,0.00116492,0.00116492,0.00116492
58,326.027,0.39837,0.26832,0.83501,0.9967,1,0.995,0.90569,0.36721,0.23587,0.77482,0.00116021,0.00116021,0.00116021
59,330.934,0.40932,0.27549,0.83677,0.9947,0.99922,0.995,0.91036,0.35553,0.21921,0.77414,0.00115549,0.00115549,0.00115549
60,336.267,0.39032,0.26346,0.83415,0.995,0.99668,0.995,0.90657,0.33348,0.21932,0.77265,0.00115077,0.00115077,0.00115077
61,341.52,0.42675,0.28078,0.86187,0.99512,0.99358,0.99496,0.89478,0.35968,0.21613,0.77705,0.00114606,0.00114606,0.00114606
62,346.593,0.41994,0.28063,0.84756,0.99438,0.99561,0.99496,0.90937,0.34946,0.21681,0.77615,0.00114134,0.00114134,0.00114134
63,351.439,0.39641,0.27272,0.83446,0.99565,0.99624,0.995,0.90701,0.34951,0.2224,0.77469,0.00113663,0.00113663,0.00113663
64,356.389,0.40808,0.2697,0.84209,0.99142,0.99925,0.995,0.89723,0.35241,0.22212,0.77539,0.00113191,0.00113191,0.00113191
65,361.403,0.39166,0.25835,0.83437,0.99472,1,0.995,0.89924,0.34997,0.22146,0.77343,0.0011272,0.0011272,0.0011272
66,366.166,0.39903,0.26899,0.83995,0.99398,1,0.995,0.9025,0.35228,0.21778,0.77601,0.00112248,0.00112248,0.00112248
67,370.913,0.39702,0.27496,0.84392,0.99432,1,0.995,0.90636,0.33894,0.21956,0.77321,0.00111776,0.00111776,0.00111776
68,375.769,0.39296,0.263,0.84303,0.99416,1,0.995,0.90633,0.33692,0.21119,0.77374,0.00111305,0.00111305,0.00111305
69,380.829,0.37784,0.25827,0.8226,0.99688,0.99812,0.995,0.90448,0.3435,0.21481,0.77178,0.00110833,0.00110833,0.00110833
70,386.001,0.37743,0.25669,0.84203,0.99672,0.99866,0.995,0.9186,0.32292,0.20625,0.76985,0.00110362,0.00110362,0.00110362
71,390.906,0.3761,0.251,0.82376,0.99617,0.9999,0.995,0.9111,0.34109,0.21064,0.7725,0.0010989,0.0010989,0.0010989
72,395.94,0.38034,0.25538,0.83582,0.99447,0.99974,0.995,0.91605,0.33448,0.20534,0.77201,0.00109419,0.00109419,0.00109419
73,400.692,0.37352,0.2547,0.83253,0.99359,1,0.995,0.90379,0.33459,0.2057,0.77215,0.00108947,0.00108947,0.00108947
74,405.598,0.37482,0.25362,0.826,0.99475,1,0.995,0.92318,0.33068,0.20921,0.77257,0.00108475,0.00108475,0.00108475
75,410.418,0.38904,0.26192,0.83623,0.99464,1,0.995,0.90807,0.33062,0.20851,0.7725,0.00108004,0.00108004,0.00108004
76,415.69,0.39879,0.25961,0.83573,0.99574,1,0.995,0.90784,0.33737,0.2065,0.77324,0.00107532,0.00107532,0.00107532
77,420.689,0.38856,0.25441,0.83579,0.99348,1,0.995,0.91484,0.33639,0.20904,0.77216,0.00107061,0.00107061,0.00107061
78,425.942,0.37453,0.25335,0.83205,0.99441,1,0.995,0.91535,0.35199,0.21191,0.77371,0.00106589,0.00106589,0.00106589
79,430.984,0.39071,0.26341,0.84333,0.99433,1,0.995,0.91883,0.33424,0.20835,0.77172,0.00106118,0.00106118,0.00106118
80,435.914,0.37724,0.25435,0.83694,0.99461,0.99979,0.995,0.91344,0.33602,0.20384,0.77171,0.00105646,0.00105646,0.00105646
81,440.702,0.37533,0.25303,0.83897,0.99367,0.99943,0.995,0.9153,0.34525,0.2004,0.77244,0.00105174,0.00105174,0.00105174
82,445.702,0.3676,0.24976,0.83619,0.99444,0.99869,0.995,0.90972,0.33543,0.21401,0.77138,0.00104703,0.00104703,0.00104703
83,450.778,0.37323,0.25641,0.83542,0.99573,0.99897,0.995,0.90895,0.33498,0.20717,0.77079,0.00104231,0.00104231,0.00104231
84,455.705,0.3686,0.25723,0.83054,0.99645,0.99968,0.995,0.91305,0.32698,0.204,0.77089,0.0010376,0.0010376,0.0010376
85,460.573,0.37407,0.25422,0.84386,0.99618,1,0.995,0.91008,0.35641,0.21954,0.77431,0.00103288,0.00103288,0.00103288
86,465.465,0.3839,0.25055,0.84605,0.99546,0.99994,0.995,0.91425,0.34261,0.20573,0.77429,0.00102817,0.00102817,0.00102817
